standardized_smiles,logPapp
BrC(Br)Br,-5.798533448734927
C#CC(C)(O)CC,-5.271957010740603
C#CC(O)(C=CCl)CC,-5.679948493558591
C#CC(OC(N)=O)c1ccccc1,-4.286063437256424
C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21C,-6.173455546180896
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-5.956351421934969
C#CC1(O)CCC2C3CCC4=Cc5c(cnn5-c5ccc(F)cc5)CC4(C)C3CCC21C,-4.8344852196914205
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,-5.764591589548768
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,-3.874777216089476
C#CC1(OC(N)=O)CCCCC1,-3.766046392007131
C#CC1(OCC(O)CN2CCN(c3ccc(F)cc3)CC2)CCCCC1,-5.089576869551303
C#CCC1(OC(N)=O)CCCCC1,-4.4892737997951
C#CCN(C)C(C)Cc1ccccc1,-5.164410301213186
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,-6.014834056334609
C#CCN(C)Cc1ccccc1,-4.768513759974679
C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-5.735170589542225
C#CCNC1CCc2ccccc21,-4.444986130040938
C1=C(CC2=NCNC2)CCc2ccccc21,-5.844517648052287
C1=Cc2cccc(OCC3CNCCO3)c2C1,-4.649955034195132
C1CC1,-4.088531242623085
C1CCCCC1,-5.695776279822493
C1CCc2nnnn2CC1,-7.183914325150068
C=C,-5.631112770746232
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,-6.403471514552416
C=C(C)CNCC(=O)N(C)c1ccc(Cl)cc1C(=O)c1ccccc1,-6.704633547206264
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,-5.580402139675543
C=C1CC(C)C2C3Cc4ccc(O)cc4C2(CCN3CC2CCC2)C1,-4.99830130746933
C=C1CC2C3C=CC4=CC(=O)CCC4(C)C3C(O)CC2(C)C1(O)C(=O)CO,-6.695843342579477
C=C1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-6.436699070759097
C=C1CC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO,-4.310476624812737
C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,-6.018770075568792
C=C1Cc2c(CCN(CCC)CCC)ccc(O)c2N1,-5.248289152540176
C=C1c2c(Cl)ccc(O)c2C(O)=C2C(=O)C3(O)C(=O)C(=C(N)O)C(=O)C(N(C)C)C3C(O)C12,-5.647911800531107
C=C1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(=O)C(=C(N)O)C(=O)C(N(C)C)C3C(O)C12,-6.452955702961351
