smiles,hERG,standardized_smiles
[Cl].CC(C)NCC(O)COc1cccc2ccccc12,1,CC(C)NCC(O)COc1cccc2ccccc12
C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl,2,CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1
c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2C(C)CO3)=O,3,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
C1CCN(CC1)Cc1cccc(c1)OCCCNC(=O)C,4,CC(=O)NCCCOc1cccc(CN2CCCCC2)c1
Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,5,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,6,CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)C(=O)C1=O
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(/O)NCN5CCCC5)C1=O,7,CN(C)C1C(=O)C(=C(O)NCN2CCCC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12
Cn1c2CCC(Cn3ccnc3C)C(=O)c2c4ccccc14,8,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O,9,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,10,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N
OCC(C)(O)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,11,CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O
CC1=CN([C@H]2C[C@H](F)[C@@H](CO)O2)C(=O)NC1=O,12,Cc1cn(C2CC(F)C(CO)O2)c(=O)[nH]c1=O
C(Cl)Cl,13,ClCCl
C1N(C(CC2CCCCC12)C(NC(C)(C)C)=O)CC(C(Cc1ccccc1)NC(C(NC(c1nc2c(cccc2)cc1)=O)CC(N)=O)=O)O,14,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,15,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
CCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O)CC)c3ccccc3)C1=O,16,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1
CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1,17,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
CN1C2CCC1CC(C2)OC(=O)[C@H](CO)c3ccccc3,18,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3,19,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,20,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
CCCC(C)C,21,CCCC(C)C
C[C@H](N)Cc1ccccc1,22,CC(N)Cc1ccccc1
c1cc2c(cc(CC3=CNC(=NC3=O)NCCSCc3oc(cc3)CN(C)C)cc2)cc1,23,CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,24,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2
CCC(=O)N(c1ccccc1)C2(CCN(CCc3sccc3)CC2)COC,25,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1
CCNC(=NC#N)NCCSCc1c(cccn1)Br,26,CCNC(=NC#N)NCCSCc1ncccc1Br
CN(C)C(=O)Cc1n2cc(C)ccc2nc1c3ccc(C)cc3,27,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
CN1CCN(CC1)C2=C3C=CC=CC3=Nc4ccc(Cl)cc4N2,28,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1
FC(F)(F)c1c(Cl)nc(N2CCNCC2)cc1,29,FC(F)(F)c1ccc(N2CCNCC2)nc1Cl
O.CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c4ccccc4)C(=O)C1=O,30,CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,31,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
c1ccc(C(NCCCOc2cc(CN3CCCCC3)ccc2)=O)cc1,33,O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1
CC(C)(C)OC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CS3)C,34,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O
CCC(=O)N(C1CCN(CC1)CCc2ccccc2)c3ccccc3,35,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
CCOC(=O)c1cncn1C(C)c2ccccc2,36,CCOC(=O)c1cncn1C(C)c1ccccc1
CN(C)c1cc(C2=NC(N)=NN2)ccn1,37,CN(C)c1cc(-c2nc(N)n[nH]2)ccn1
CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1,38,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
IC1=C(N([H])[H])C=CC(C2=NC3=CC=C(O[H])C=C3S2)=C1,39,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1I
O=C(C)Nc1cc(c2csc(N=C(N)N)n2)ccc1,40,CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1
CN1[C@H]2CCC[C@@H]1CC(C2)NC(=O)c3nn(C)c4ccccc34,41,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2
C[S](=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,42,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1
c1ccc(cc1)c1csc(n1)N=C(N)N,43,NC(N)=Nc1nc(-c2ccccc2)cs1
CC(N)COc1c(C)cccc1C,44,Cc1cccc(C)c1OCC(C)N
CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c2ccccc2,45,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C
ClC1=CC=C(C2=C1)SC3=C(N2CCCNC)C=CC=C3,46,CNCCCN1c2ccccc2Sc2ccc(Cl)cc21
CN(C)Cc1ccc(c2cccc(NC3C([N+]([O-])=O)=CC=N3)c2)o1,47,CN(C)Cc1ccc(-c2cccc(NC3N=CC=C3[N+](=O)[O-])c2)o1
Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(O)=O,48,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1
n(ccc1)c(c1)CCN(C)C,49,CN(C)CCc1ccccn1
O=C1N(CCC1)CCCCN2CCN(CC2)c3cc(C(F)(F)F)ccn3,50,O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)ccn2)CC1
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,51,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
c1(ccccc1)CC,52,CCc1ccccc1
c1ccc(cc1N)c1csc(n1)N=C(N)N,53,NC(N)=Nc1nc(-c2cccc(N)c2)cs1
