standardized_smiles,pKa
BrC1=NNC2(CCC2)C1,2.7
BrC1=NNC2(CCCC2)C1,2.68
Brc1c[nH]cn1,8.1
Brc1c[nH]nc1Br,-1.83
Brc1cc(Br)c(Br)nc1Br,-4.9
Brc1cc(Br)nc(Br)c1,-3.36
Brc1cc2cccnc2c2ncccc12,4.2
Brc1ccc(-n2ccnc2)cc1,4.91
Brc1ccc(Br)c(Br)n1,-3.81
Brc1ccc2[nH]ccc2c1,16.13
Brc1ccc2[nH]cnc2c1,7.19
Brc1ccc2[o+]cccc2c1,-3.58
Brc1ccc2ccc[o+]c2c1,-3.31
Brc1ccc2ccccc2n1,1.05
Brc1ccc2cccnc2c1,3.87
Brc1ccc2ncccc2c1,3.91
Brc1cccc2[nH]cnc12,4.7
Brc1cccc2cccnc12,3.13
Brc1cccc2ncccc12,3.62
Brc1ccccn1,0.8049999999999999
Brc1cccnc1,2.8880000000000003
Brc1ccnc(Br)c1Br,-1.07
Brc1ccnc2c1ccc1cccnc12,4.01
Brc1ccncc1,3.7649999999999997
Brc1cn[nH]c1,0.64
Brc1cn[nH]c1-c1ccccc1,0.3
Brc1cnc(Br)c(Br)c1Br,-2.47
Brc1cnc2c(ccc3cc(Br)cnc32)c1,3.88
Brc1cnc2ccccc2c1,2.7199999999999998
Brc1cncc(Br)c1,0.82
Brc1cncc(Br)c1Br,0.45
Brc1cncc2ccccc12,3.31
Brc1cnn(-c2ccccc2)c1,-1.32
Brc1ncc[nH]1,7.4399999999999995
Brc1ncccn1,-1.63
C#CC#CC#CC(=O)O,1.67
C#CC#CC#CCC(O)CCC(=O)O,4.75
C#CC#CC=C=CC(CCC(=O)O)C1OCC(O)C(O)C1O,4.4
C#CC#CC=C=CC(O)CCC(=O)O,4.8
C#CC(=O)O,1.8978888888888887
C#CC(C)(C)N(C)C,7.96
C#CC(C)(C)N(C)C(C)(C)C#C,6.65
C#CC(C)(C)NC(C)(C)C#C,6.45
C#CC(C)(C)NC(C)(C)C=C,8.2
C#CC(C)(C)NC(C)(C)CC,9.0
C#CC=CC(=O)O,3.75
C#CCC(=O)O,3.32
C#CCCC(=O)O,4.2
C#CCCCC(=O)O,4.59
C#CCCCCC(=O)O,4.57
C#CCCCCN(C)C,9.16
C#CCCCN(C)C,8.8
C#CCCN(C)C,8.25
C#CCN,8.15
C#CCN(C)C,7.21
C#CCN(CC#C)CC#C,3.09
C#CCN(CC)CC,7.97
C#CCN1CCN(C(=O)OCC)CC1,5.44
C#CCNCC#C,6.1
C#CCNN,5.46
C#CCNc1ccccc1,3.06
C#CCNc1nc(C)cc(C)n1,4.37
C#CCNc1ncccn1,2.85
C#CCO,13.55
C#CCc1c(C)nc(=N)n(C)c1C,11.5
C#CCc1c(C)nc(N)nc1C,4.49
C#CCc1c(C)nc(NC)nc1C,4.87
C#CCc1c(C)nc(O)nc1C,6.88
C#CCn1c(C)cc(C)nc1=N,10.36
C#CCn1cccnc1=N,9.99
C(#Cc1ccncc1)c1ccccc1,4.62
C(#Cc1nc2ccccc2[nH]1)c1ccccc1,10.05
C(=Cc1[nH+]ccc2ccsc12)c1ccccc1,2.8
C(=Cc1ccccn1)c1ccccn1,3.5999999999999996
C(=Cc1ccccn1)c1cccnc1,4.0
C(=Cc1ccccn1)c1ccncc1,4.2
C(=Cc1cccnc1)c1ccccc1,4.75
C(=Cc1cccnc1)c1cccnc1,3.825
C(=Cc1cccnc1)c1ccncc1,4.475
C(=Cc1ccncc1)c1ccccc1,5.92
C(=Cc1ccncc1)c1ccncc1,4.625
C(=NNc1ccccn1)c1ccccn1,4.18375
C(CN1CCOCC1)CN1CCOCC1,6.75
C1=C(C2CCCCC2)NCC1,7.91
C1=C(Cc2ccccc2)NCC1,7.06
C1=CCC=C1,15.0
C1=CSCC=N1,8.4
C1=Cc2ncccc2C1,5.7
C1=NCCCN1,13.0
C1=NNC2(C1)CCC2,4.2
C1=NNC2(C1)CCCC2,4.16
C1=NNC=NN1,2.25
C1=NNCC1,4.62
C1=Nc2[nH]nnc2CN1,7.285
C1=Nc2ccc3c4c(ccc(c24)N1)CC3,6.12
C1=Nc2cccc3cccc(c23)N1,6.13
C1=Nc2ccccc2CN1,9.17
C1=Nc2nccnc2CN1,6.36
C1=Nc2nn(Cc3ccccc3)nc2CN1,5.62
C1CC2CCC1CNC2,10.57
C1CCC(C2CCCCN2)NC1,10.16
C1CCC(C2CCCN2)CC1,10.76
C1CCC(CNCCNCC2CCCC2)C1,8.875
C1CCC(CNCCNCC2CCCCC2)CC1,8.85
C1CCC(N2CCCC2)CC1,3.3
C1CCC(NC2CCCC2)C1,10.93
C1CCC(NC2CCCCC2)CC1,11.25
C1CCC(NCCNC2CCCC2)C1,8.865
C1CCC(NCCNC2CCCCC2)CC1,8.95
C1CCC(NCCNCCNC2CCCCC2)CC1,7.566666666666666
C1CCC2CNCCC2C1,11.335
C1CCC2NCCCC2C1,11.29
C1CCC2NCNCC2C1,6.0575
C1CCCNCC1,11.0
C1CCCOCC1,-2.02
C1CCN(CCCN2CCCCC2)CC1,8.925
C1CCN(CCN2CCCC2)C1,7.885
C1CCN(CCN2CCCCC2)CC1,7.86
C1CCN2CC3CC(CN4CCCCC34)C2C1,8.38
C1CCN2CCNC2=NC1,11.26
C1CCNC1,10.772117647058824
C1CCNCC1,11.112916666666665
C1CCOC1,-2.08
C1CCOCC1,-2.79
C1CCSC1,-4.81
C1CCc2c(nnc3c2CCCC3)C1,6.075
C1CN(CCN2CCOCC2)CCO1,5.140000000000001
C1CN1,7.933333333333334
C1CN2CCC1CC2,11.030000000000001
C1CN2CCCN2C1,6.0
C1CN2CCN1CC2,6.5920000000000005
C1CN2CCNC2=N1,10.6
C1CN=C2NCCCN2C1,11.22
C1CN=C2NCCN2C1,11.22
C1CNC1,11.165
C1CNC2CCCNC2C1,8.495000000000001
C1CNC2CCNCC2C1,9.43
C1CNC2CNCCC2C1,8.615
C1CNC2NCCCC2C1,7.09
C1CNCCN1,7.560880952380953
C1CNCCNC1,8.44375
C1CNCNC1,9.75
C1COC(CNCCNC2CCCO2)C1,7.7250000000000005
C1COCCN1,8.473533333333334
C1COCCO1,-3.61
C1CSCCN1,9.0
C1CSCN1,6.22
C1N2CN3CN1CN(C2)C3,5.74
C1NCC2CNCC1C2,8.52
C=C(Br)C=CC1(C(C)C)C(=O)N(CCN2CCOCC2)C(=O)N=C1O,6.8100000000000005
C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,7.72
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,7.71
C=C(Br)CC1(C(CC)CC)C(=O)NC(=O)NC1=O,7.7
C=C(C(=O)OC1CC2C3OC3C(C1)N2C)c1ccccc1,7.72
C=C(C)C(=O)O,4.65
C=C(C)C(=O)OCCN1CCCCC1,8.35
C=C(C)C1CC=C(C)C(=O)C1,-2.92
C=C(C)CC(=O)OC(C)N1CCCCC1,8.37
C=C(C)CC1(CC(C)C)C(=O)NC(=O)NC1=O,7.79
C=C(C)CC1(CC(C)CC)C(=O)NC(=O)NC1=O,7.98
C=C(C)CC1(CCC)C(=O)NC(=O)NC1=O,7.82
C=C(C)c1ccc(C(=O)O)cc1,4.04
C=C(CC(=O)O)C(=O)O,4.601214285714286
C=C(CCCC)C(=O)O,4.8
C=C(OP(=O)(O)O)C(=O)O,4.9125
C=C1CCCN(C)C1,9.31
C=C1CCN(C)C(C)C1,9.25
C=C1CCN(C)CC1,9.03
C=C1CCN(C)CC1C,9.09
C=C1CCN2CCC(O)C12,9.4
C=C1c2ccccc2C(=O)c2ccccc21,-3.4
C=C=CC(=O)O,3.69
C=C=Cc1c(C)nc(NC)nc1C,4.85
C=CC#CCC(=O)O,3.39
C=CC(=O)O,2.2179
C=CC(C)(C)NC(C)(C)C=C,10.1
C=CC(C)(C)NC(C)(C)CC,10.8
C=CC(Cl)C(=O)O,2.55
C=CC12CN(C)C3C4COC(CC41)C1(C(O)=Nc4ccccc41)C32,9.79
C=CC1=C(C)C(=CC2=NC(=Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)C(CCC(=O)O)=C2C)NC1=O,3.0
C=CC1=C(C)C(CC2=NC(=Cc3[nH]c(CC4NC(=O)C(C)=C4CC)c(C)c3CCC(=O)O)C(CCC(=O)O)=C2C)NC1=O,7.2
C=CC1=C(C)C2=NC1=CC1=NC(=C(CC)C1=CO)C=C1N=C(C(CC(=O)O)=C3NC(=C2)C(C)C3CCC(=O)O)C(C(=O)O)=C1C,1.6
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(O)cc12,7.63
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,6.38875
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,6.835000000000001
C=CCC(=O)O,4.37
C=CCC([N+](=O)[O-])[N+](=O)[O-],4.916
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,7.91
C=CCC1(C(C)CCC)C(=O)N=C(S)N=C1O,0.69
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,8.08
