smiles,logPapp
[Cl].CC(C)NCC(O)COc1cccc2ccccc12,-5.3384415511561585
C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl,-4.993399634599672
c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2C(C)CO3)=O,-6.914253253348477
C1CCN(CC1)Cc1cccc(c1)OCCCNC(=O)C,-4.7030686908059
Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,-3.526092833545547
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,-5.264572162837604
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(/O)NCN5CCCC5)C1=O,-5.108620258102007
Cn1c2CCC(Cn3ccnc3C)C(=O)c2c4ccccc14,-4.9641513479275625
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O,-5.726405304910944
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,-4.6949689092597895
OCC(C)(O)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,-5.843819430325214
CC1=CN([C@H]2C[C@H](F)[C@@H](CO)O2)C(=O)NC1=O,-5.183553362308018
C(Cl)Cl,-4.5295809400103035
C1N(C(CC2CCCCC12)C(NC(C)(C)C)=O)CC(C(Cc1ccccc1)NC(C(NC(c1nc2c(cccc2)cc1)=O)CC(N)=O)=O)O,-6.140750414679556
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,-3.415682903363139
CCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O)CC)c3ccccc3)C1=O,-6.613864852608474
CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1,-4.551218621170728
CN1C2CCC1CC(C2)OC(=O)[C@H](CO)c3ccccc3,-5.461908514023876
COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCCCC3,-6.640752084731472
Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,-6.442586772171807
CCCC(C)C,-4.662806571698724
C[C@H](N)Cc1ccccc1,-6.851738558124099
c1cc2c(cc(CC3=CNC(=NC3=O)NCCSCc3oc(cc3)CN(C)C)cc2)cc1,-5.611009580108738
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,-6.534661366034781
CCC(=O)N(c1ccccc1)C2(CCN(CCc3sccc3)CC2)COC,-5.8959547754409805
CCNC(=NC#N)NCCSCc1c(cccn1)Br,-2.468111118331782
